title,url,description,image_url,topics
Passenger describes moment turbulence hit flight,https://www.bbc.com/news/videos/ck77mldzlnpo,"Jerry, who was flying to his son's wedding, says it was the worst day of his life.",https://ichef.bbci.co.uk/news/480/cpsprodpb/3a39/live/84b53270-1798-11ef-80aa-699d54c46324.jpg,['Asia']
Inside Elvis Presley's Graceland home in Tennessee,https://www.bbc.com/news/videos/crgg5y1yzp1o,The late pop star's house could be auctioned off by a company who claims it was used as collateral in a loan.,https://ichef.bbci.co.uk/news/480/cpsprodpb/9189/live/6a0b7ba0-1798-11ef-80aa-699d54c46324.jpg,['US & Canada']
"Decades after training, 90-year-old finally goes to space",https://www.bbc.com/news/world-us-canada-69041446,Ed Dwight was the first black astronaut candidate in 1961 - but was never picked for a Nasa mission.,https://ichef.bbci.co.uk/news/480/cpsprodpb/B1B4/production/_133329454_p0hz7f25.jpg,['US & Canada']
Trump trial: Judge warns witness over 'side eye',https://www.bbc.com/news/world-us-canada-69004634,The prosecution rested its case on Monday and the defence called two witnesses - then Judge Merchan cleared the room.,https://ichef.bbci.co.uk/news/480/cpsprodpb/11BF4/production/_133329627_p0hz8487.jpg,['US & Canada']
Donald Trump biopic causes a stir in Cannes,https://www.bbc.com/news/articles/c3ggplvn5pzo,"Critics broadly praise The Apprentice, but the former president threatens to sue over its content.",https://ichef.bbci.co.uk/news/480/cpsprodpb/8fca/live/73b45980-174b-11ef-976f-87c9f89e656e.jpg,[]
Injured Singapore Airlines passenger carried off flight,https://www.bbc.com/news/videos/cmjj8gp5xxlo,"A passenger injured by severe turbulence is carried off flight SQ321 at Bangkok airport.
",https://ichef.bbci.co.uk/news/480/cpsprodpb/f30e/live/5b672a50-178d-11ef-80aa-699d54c46324.jpg,['Asia']
South Korea bans TikTok hit 'idolising' Kim Jong Un,https://www.bbc.com/news/articles/cjmmj7r0v2go,"The boppy propaganda tune extols Kim Jong Un as a ""friendly father"" and ""great leader"".",https://ichef.bbci.co.uk/news/480/cpsprodpb/a322/live/9f522300-171f-11ef-9b12-1ba8f95c4917.png,['Asia']
Kate briefed on early years report but no return to work yet,https://www.bbc.com/news/uk-69039748,"A return to work is ruled out for the Princess of Wales, as her early years foundation issues a report.",https://ichef.bbci.co.uk/news/480/cpsprodpb/14FDE/production/_133328958_hi094107837.jpg,['UK']
Eagles changed migration route to avoid Ukraine war,https://www.bbc.com/news/articles/c88z0p33413o,Scientists believe they avoided perils including artillery fire on their way to their traditional breeding ground.,https://ichef.bbci.co.uk/news/480/cpsprodpb/bb14/live/c708c3b0-1434-11ef-9bd5-e996843d1de6.jpg,['Europe']
Scarlett Johansson 'shocked' by AI chatbot imitation,https://www.bbc.com/news/articles/cm559l5g529o,"The star says she is ""shocked"" after OpenAI launched a chatbot with a voice ""eerily similar"" to hers.",https://ichef.bbci.co.uk/news/480/cpsprodpb/c32f/live/a70512f0-1743-11ef-976f-87c9f89e656e.jpg,[]
